Id	species	Syp/allo	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
CAS5497	fortis	Allopatry	0.006978598	0.003170815	-0.018220257	0.010059058	0.009716392	-0.00611904	0.003570088	0.007819121	0.002564445	0.004815898	0.005109187	0.001269356	-0.005009613	0.005719549	-9.11E-04	-2.02E-04	-9.92E-04	-0.003737997	-0.00391076	0.003333393	2.41E-05	2.38E-04	0.001356415	1.34E-04	0.002179955	-2.42E-04
CAS5503	fortis	Allopatry	0.034273273	-0.025325412	-0.031258265	0.014337304	0.012747116	-0.002173009	0.001467901	-0.001002147	-0.009072647	-0.004703372	0.006617079	0.002038784	-0.002505884	0.002711524	-0.010601119	0.003483953	0.006692945	0.007904456	-8.69E-04	1.42E-04	-0.002944072	-4.77E-04	2.62E-04	8.55E-04	-0.001113111	-4.93E-04
CAS5508	fortis	Sympatry	-0.049628654	-0.011935867	0.009269636	0.014657235	-0.001737644	9.55E-04	-0.002357839	-5.15E-04	0.001723755	0.003529516	-0.002898522	-0.005219756	0.00379858	8.96E-04	0.002779431	0.00446535	-9.14E-05	0.003349733	0.001137386	7.16E-04	5.20E-04	9.86E-04	-0.001753375	4.31E-04	1.53E-04	-7.57E-05
CAS5509	fortis	Sympatry	-0.122546911	-0.017669005	-0.011466205	-0.007943045	0.002120815	-3.17E-04	0.00558378	0.001122943	-0.00618614	-0.002126469	-7.35E-04	0.003315114	-0.001557372	-0.002204001	-6.04E-04	-0.003064917	-0.001137556	0.001533586	0.001563631	2.16E-04	1.98E-04	-0.001221266	4.03E-04	2.14E-04	5.35E-04	6.64E-04
CAS5511	fortis	Allopatry	-0.039065644	-0.051352907	0.014933415	0.014961972	0.004936841	0.006268301	-0.002128791	0.001551345	-0.00430191	-3.97E-04	0.003483263	-0.006233469	-0.00208067	9.48E-04	0.00176743	-0.00171886	2.16E-05	-0.002327404	-0.001035434	-4.91E-04	9.75E-04	-4.53E-04	-3.71E-04	-5.22E-04	-6.88E-06	-4.36E-04
CAS5512	fortis	Allopatry	0.115464678	-0.046715138	0.002350943	-0.027240993	-0.0114082	0.001838955	-0.006702005	0.00831886	-0.010674463	0.009676633	-0.002789865	-0.008831744	-2.91E-04	-0.00194594	-0.001228065	0.001077135	-7.06E-04	-9.38E-04	0.005976293	0.002586607	0.001421504	-5.75E-04	-1.82E-05	1.91E-04	-0.001845819	-0.003825211
CAS5531	fortis	Allopatry	0.031404179	0.003010468	-0.0278162	0.00735992	-0.008328673	0.004844435	0.012614983	0.001248762	-0.002184476	0.00295286	-0.001274842	0.004006612	-0.002619733	-6.97E-04	-0.010445012	-0.001053211	-0.001560171	-0.003957836	0.003365179	-0.001693694	0.002364269	0.003827515	-7.33E-04	0.003354689	-9.37E-04	2.44E-04
CAS5536	fortis	Allopatry	0.001679934	5.37E-04	-0.022440992	-0.021474933	-0.007474775	-0.01187168	-0.011196388	-3.00E-04	-0.012032704	0.009284945	0.001486404	-0.00711845	0.007402385	-0.002767526	7.70E-04	-0.004094143	-0.00253432	0.002096866	-9.15E-04	0.003617612	0.002735203	-0.00197073	0.002708041	-0.002843591	-0.001549929	-0.001811125
CAS5538	fortis	Allopatry	0.081866992	-0.020351515	-0.006957785	-0.002112389	0.005898569	-0.002941996	0.013353818	-0.006141185	-0.002808549	9.80E-04	-0.010287742	-0.00799719	0.00171474	0.005070215	-0.00452735	-0.002271232	0.002511558	-7.25E-04	0.002366443	-0.00215299	-0.001682825	-0.006860176	-0.001620658	0.001819644	-7.86E-04	-0.001483222
CAS5545	fortis	Allopatry	0.042706273	-0.060838027	-0.011510751	0.020146056	0.009935229	0.00861011	0.011777422	0.007446259	-8.49E-04	0.009997002	-0.01076729	-0.001693061	-0.003514548	0.010834569	-1.56E-05	-4.25E-04	0.005005063	-0.003051582	-5.70E-04	0.003769051	0.003415936	-0.003879222	-0.00312859	-0.001339841	-6.15E-04	0.00197291
CAS5547	fortis	Sympatry	-0.021157049	0.010547104	0.023941919	0.012206996	0.003819152	-0.006774632	5.99E-04	-0.00137086	0.003883172	-0.005337008	-0.001971362	0.003063042	3.30E-04	0.001106538	2.06E-04	-2.80E-05	-4.70E-04	4.34E-04	8.05E-04	5.74E-04	-8.80E-04	7.59E-05	8.75E-04	3.42E-04	-1.87E-06	-3.90E-04
CAS5550	magnirostris	Sympatry	0.07225154	0.058373752	-0.004842966	0.015056136	0.004524739	0.001039389	0.011310429	-8.91E-04	-0.011509807	-0.005512756	-3.67E-04	-0.005264237	-0.002194357	0.001558964	-0.001541092	-0.001066054	0.004244369	9.91E-04	0.002290978	4.54E-04	-0.002929813	-0.002073709	0.002214403	-0.001668719	-4.72E-04	-3.29E-04
CAS5551	magnirostris	Sympatry	0.046850953	3.93E-04	3.04E-04	0.001536245	-0.011375854	2.28E-04	0.00181512	-0.001032431	-0.010093517	0.00579975	-0.003112557	-0.002908531	0.003962793	-0.002453172	-8.65E-04	0.006035359	-0.004615758	-0.00144321	0.001041426	0.001064901	-0.00114936	8.76E-04	3.64E-04	0.001498717	8.59E-05	-9.86E-04
CAS5554	fortis	Allopatry	0.015871644	-0.00161279	-0.017959092	0.009932106	0.013467216	0.011761626	0.002480348	0.002380742	0.008729238	0.007282855	0.007664299	-0.004562147	0.001290773	-6.36E-04	-0.001653436	-0.004717672	-2.57E-04	-3.59E-04	3.04E-04	0.003925307	0.001779915	-0.002293594	-0.002025116	0.001834773	1.92E-04	0.001101924
CAS5556	fortis	Allopatry	0.090583187	0.026153172	-0.038840876	-0.024029994	-0.011092518	-0.004455275	0.014381787	-0.004642104	0.005374312	-1.52E-04	0.006174741	-0.009917866	-8.83E-04	-0.003909916	-6.31E-04	-0.003453406	-0.008440276	0.002477456	-2.87E-04	0.002357703	-0.004185624	-8.82E-04	0.002361598	9.19E-05	-5.98E-04	8.16E-04
CAS5567	fortis	Sympatry	0.099550105	-0.031539848	-0.017737972	0.032826105	-0.002689252	0.002044568	0.00661522	0.001320556	0.006133166	0.009223704	0.002832378	-0.00278181	0.00426102	-0.006344668	0.001112808	-5.27E-04	-0.002048055	-0.004795444	0.001048108	-0.001150675	-8.22E-04	-3.12E-05	-0.003132148	-0.001523973	-0.001901725	0.002310586
CAS5569	fortis	Sympatry	0.0345236	-0.022933644	0.005186477	0.005229872	-0.022406243	0.004705862	-0.008033704	-0.015408642	0.001847256	0.001410191	-0.001405035	0.002456575	-0.003618348	0.001885807	0.002137547	-0.001244544	4.83E-04	0.001613816	-0.002954387	-0.001008012	-0.001777347	2.42E-04	0.001912819	-1.88E-04	-0.001857364	0.002337695
